file	status	date_created
ENCFF399RVX	in progress	2014-12-08T16:06:36.444013+00:00
ENCFF416QMZ	in progress	2015-12-11T14:36:36.813403+00:00
ENCFF024ZDV	in progress	2015-05-21T22:27:48.585413+00:00
ENCFF448XDK	in progress	2014-10-24T21:07:51.609186+00:00
ENCFF414QUA	in progress	2015-12-10T18:11:06.187796+00:00
ENCFF935JYR	in progress	2014-10-25T02:49:34.906899+00:00
ENCFF745KKI	in progress	2016-02-24T03:17:47.504260+00:00
ENCFF879YYT	in progress	2014-10-27T06:14:28.928149+00:00
ENCFF471XKA	in progress	2014-10-27T05:27:43.292427+00:00
ENCFF391STU	in progress	2016-02-24T04:16:50.397290+00:00
ENCFF281SBT	in progress	2015-12-11T16:25:15.327030+00:00
ENCFF851YMW	in progress	2014-10-24T22:37:58.696621+00:00
ENCFF894VOV	in progress	2014-10-27T15:17:21.094419+00:00
ENCFF242FUH	in progress	2015-12-11T17:36:11.104950+00:00
ENCFF223ODH	in progress	2015-12-11T14:35:58.158108+00:00
ENCFF070JDY	in progress	2015-12-10T17:57:58.108504+00:00
ENCFF311ZVT	in progress	2016-02-24T03:04:31.392832+00:00
ENCFF623IJZ	in progress	2014-10-24T17:23:42.279739+00:00
ENCFF082JPN	in progress	2015-12-11T14:46:22.469372+00:00
ENCFF451NHC	in progress	2016-02-24T04:29:34.022803+00:00
ENCFF130RLD	in progress	2015-12-11T16:57:28.615239+00:00
ENCFF983QIJ	in progress	2015-12-11T16:01:37.075113+00:00
ENCFF358EYL	in progress	2014-12-06T05:13:31.472402+00:00
ENCFF358QXO	in progress	2015-12-11T15:19:55.205095+00:00
ENCFF589ZAX	in progress	2015-12-10T18:41:55.720560+00:00
ENCFF561QWR	in progress	2015-12-10T18:40:20.982239+00:00
ENCFF728JQA	in progress	2014-10-27T05:58:58.212180+00:00
ENCFF944YBB	in progress	2016-02-24T04:45:14.766499+00:00
ENCFF922GDY	in progress	2015-12-10T18:48:43.408759+00:00
ENCFF519ZUR	in progress	2016-02-24T03:29:41.925976+00:00
ENCFF973AFN	in progress	2014-10-25T02:39:05.702272+00:00
ENCFF859GVE	in progress	2014-10-27T04:57:20.569845+00:00
ENCFF640WOZ	in progress	2016-02-24T03:36:51.566942+00:00
ENCFF174YML	in progress	2014-10-27T16:26:58.122715+00:00
ENCFF352FFB	in progress	2015-12-10T18:03:36.755761+00:00
ENCFF954XHM	in progress	2016-02-24T03:15:18.120449+00:00
ENCFF321ZLW	in progress	2015-12-11T14:38:31.854635+00:00
ENCFF456IJA	in progress	2015-12-11T16:28:32.634430+00:00
ENCFF629JOP	in progress	2015-12-11T15:50:54.992735+00:00
ENCFF352NDL	in progress	2015-12-23T14:08:12.611272+00:00
ENCFF303DDV	in progress	2014-10-27T05:21:49.439503+00:00
ENCFF787RSQ	in progress	2014-10-27T06:18:35.910481+00:00
